N° Lector;UBICACIÓN;Estado;Fecha
617;Lector Control de Acceso T2D Swing Gate Emb. Lado Centro  Nivel 3;;
618;Lector Control de Acceso T2D Swing Gate Emb. Lado Centro  Nivel 3;;
619;Lector Control de Acceso T2D Embarque Puente D3 Lado Nor-Pon;;
620;Lector Control de Acceso T2D Embarque Puente D3 Lado Sur-Pon;;
621;Lector Control de Acceso T2D Embarque Puente D3 Lado Nor-Ori;;
622;Lector Control de Acceso T2D Embarque Puente D3 Lado Sur-Ori;;
623;Lector Control de Acceso T2D Swing Gate Emb. Pte. D5 Lado Pon Nivel 3;;
624;Lector Control de Acceso T2D Swing Gate Emb. Pte. D5 Lado Ori Nivel 3;;
627;Lector Control de Acceso T2D Swing Gate Emb. Lado Oriente  Nivel 3;;
628;Lector Control de Acceso T2D Swing Gate Emb. Lado Oriente  Nivel 3;;
629;Lector Control de Acceso T2D Swing Gate Emb. Lado Oriente  Nivel 3;;
630;Lector Control de Acceso T2D Embarque Puente D4 Lado Sur-Pon;;
631;Lector Control de Acceso T2D Embarque Puente D4 Lado Nor-Pon;;
632;Lector Control de Acceso T2D Embarque Puente D4 Lado Sur-Ori;;
633;Lector Control de Acceso T2D Embarque Puente D4 Lado Nor-Ori;;
634;Lector Control de Acceso T2D Embarque Puente D5 Lado Nor-Pon;;
635;Lector Control de Acceso T2D Embarque Puente D5 Lado Sur-Pon;;
636;Lector Control de Acceso T2D Embarque Puente D5 Lado Nor-Ori;;
637;Lector Control de Acceso T2D Embarque Puente D5 Lado Sur-Ori;;
638;Lector Control de Acceso T2D Embarque Puente D6 Lado Sur-Pon;;
639;Lector Control de Acceso T2D Embarque Puente D6 Lado Nor-Pon;;
640;Lector Control de Acceso T2D Embarque Puente D6 Lado Sur-Ori;;
641;Lector Control de Acceso T2D Embarque Puente D6 Lado Nor-Ori;;
642;Lector Control de Acceso T2D Swing Gate Emb. Pte. D6 Lado Pon Nivel 3;;
643;Lector Control de Acceso T2D Swing Gate Emb. Pte. D6 Lado Ori Nivel 3;;
644;LECTOR NO ASIGNADO;;
645;LECTOR NO ASIGNADO;;
646;Lector Control de Acceso T2D Sala Electrica  3T2DLT015 Oriente;;
647;Lector Control de Acceso T2D Sala CCDD  3T2DLT017 Oriente;;
648;Lector Control de Acceso T2D  Conector T1B - T2D Lado Nor-Pon Nivel 3;;
649;Lector Control de Acceso T2D  Conector T1B - T2D Lado Sur-Pon Nivel 3;;
650;Lector Control de Acceso T2D  Conector T1B - T2D Lado Nor-Ori Nivel 3;;
651;Lector Control de Acceso T2D  Conector T1B - T2D Lado Sur-Ori Nivel 3;;
652;Lector Control de Acceso T2D Nivel 3 Escalera  Emergencia  25;;
653;Lector Control de Acceso T2D Nivel 3 Escalera  Emergencia  26;;
654;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D1A;;
655;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D2A;;
656;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D3A;;
657;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D3B;;
658;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D4A;;
659;Lector Control de Acceso T2D Escala Servicio Plataforma Puente D4B;;
660;Lector Control de Acceso T2D Escala Servicio PlataformaPuente D5A;;
661;Lector Control de Acceso T2D Escala Servicio PlataformaPuente D5B;;
662;Lector Control de Acceso T2D Escala Servicio PlataformaPuente D6A;;
663;Lector Control de Acceso T2D Escala Servicio PlataformaPuente D6B;;
664;Lector Control de Acceso T2D Vestibulo a ASC 25 Nivel 3 ;;
665;Lector Control de Acceso T2D Vestibulo ASC 25 Nivel 1;;
666;Lector Control de Acceso T2D Sala de Aseo y Basuras;;
700;LECTOR CONTROL DE ACCESO T2E 1001 Sala CCDD Nivel 1T2ELT020;;
701;LECTOR CONTROL DE ACCESO T2E 1002 Sala Electrica Nivel 1T2ELT017;;
702;LECTOR CONTROL DE ACCESO T2E 1003 Sala Clima Nivel 1T2ELT015;;
703;LECTOR CONTROL DE ACCESO T2E 1004 Sub Estacion Nivel 1T2ELT004;;
704;LECTOR CONTROL DE ACCESO T2E 1005 Sub Estacion Nivel 1T2ELT004;;
705;LECTOR CONTROL DE ACCESO T2E 1008 Sala Clima Nivel 1T2ELT009;;
706;LECTOR CONTROL DE ACCESO T2E 1007 Sala Electrica Nivel 1T2ELT007;;
707;LECTOR CONTROL DE ACCESO T2E 1006 Sala de Bateria UPS  1T2ELT002;;
708;LECTOR CONTROL DE ACCESO T2E 1009 Sala Clima Nivel 1T2ELT009;;
709;LECTOR CONTROL DE ACCESO T2E 1010 Sala Electrica Nivel 1T2ELT003;;
710;LECTOR CONTROL DE ACCESO T2E 1011 Sala CCDD Nivel 1T2ELT006;;
711;LECTOR CONTROL DE ACCESO T2E 1012 Sala Clima Nivel 1T2ELT001;;
712;LECTOR CONTROL DE ACCESO T2E 1013 Sala Clima Nivel 1T2ELT001;;
713;LECTOR CONTROL DE ACCESO T2E 1015 Sala Electrica Nivel 1T2ELT036;;
714;LECTOR CONTROL DE ACCESO T2E 1016 Sala CCDD Nivel 1T2ELT033;;
715;LECTOR CONTROL DE ACCESO T2E Nivel 1 Escalera 021 Emergencia Salida Plataforma;;
716;LECTOR CONTROL DE ACCESO T2E 1014 Estacion de Bombeo Nivel 1T2ELT001;;
717;LECTOR CONTROL DE ACCESO T2E 1018 Ingreso Corredor Costado ASC 24 Nivel 1;;
718;LECTOR CONTROL DE ACCESO T2E 1019 Sala de Aseo y Basuras;;
719;LECTOR CONTROL DE ACCESO T2E 1027 Sala Electrica Fotovoltaica 1T2ELT034  Sur;;
720;LECTOR CONTROL DE ACCESO T2E 1026 Sala Electrica Fotovoltaica 1T2ELT035 Norte;;
721;LECTOR CONTROL DE ACCESO T2E 0001 Ingreso al Subterraneo Externo;;
